Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
"BEATING UP GONGS & DRUMS, AND SING",1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SHANGHAI PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,Legends,
NEW YEAR'S DAY,1950-07-29,1950,L.N. 331.,Printed Documents,KAM LO,KAU SAT PUBLISHING CO.,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
FOLK SONGS OF THE WORLD,1952-06-12,1952,L.N.329,Printed Documents,YIP LO,"ONWARD BOOKSHOP,HONG KONG",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,LLM have wrong clusters while Keywords dont get any match for the publications
MALAYAN MONITOR,1966-09-15,1966,P.U.344,Printed Documents,n/a,H.B.LIM,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,"Publication origin is foreign becuase it was published in London, source -> https://grokipedia.com/page/malayan_monitor. Author not available because it was a newspaper",,LLM have wrong clusters while Keywords get the correct match
BEFORE ENTERING THE NEW SOCIETY,1951-04-27,1951,L.N. 263.,Printed Documents,HUANG YU,NAN KUO BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,Both and LLM and Keywords get the wrong clusters
VOICE OF LIBERATION,1952-06-12,1952,L.N.329,Printed Documents,SIN HUAI,"SIN HWA BOOK STORE, CANTON",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,Needs more information
A COMPILATION OF MATERIALS ON THE VIETNAM ISSUE,1966-10-06,1966,P.U.372,Printed Documents,n/a,LABOUR PARTY OF MALAYA,Local,THE CHINESE LANGUAGE,n/a,Subversive ideological and political content,Communism/socialism,Green because of cluster and sub-cluster determination,,
BIG PARADE IN RED SQUARE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SUN KWONG PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,Publication Origin and Type is Wrong or Vague
THE FUNCTIONS OF PROGRESSIVE IDEAS IN THE DEVELOPMENT OF SOCIALISM,1952-06-12,1952,L.N.329,Printed Documents,KONG SZE TAN & TING NOE FU,SHANGHAI NEWSPAPERS & MAGAZINE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,Irdina cannot find info or make determination
A COLLECTION OF SONGS(NO.1 SERIES),1966-10-06,1966,P.U.373,Printed Documents,n/a,"PARTY RAKYAT,BUKIT MERAH,BRANCH,PERAK",Local,THE CHINESE LANGUAGE,n/a,Subversive ideological and political content,Administrative/Unclear Ground,Cannot determine what language were the songs and the sub-cluster.,,Irdina can make determination but needs further confirmation
BIOGRAPHY OF LO SHUN,1951-04-27,1951,L.N. 263.,Printed Documents,WONG SZE CHING,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
HEROES OF THE THAI THOO RIVER,1952-06-12,1952,L.N.329,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
JOHNSON GO HOME,1966-10-28,1966,P.U.394,Printed Documents,n/a,"SECRETARIAT OF LABOUR PARTY OF MALAYA,13 OCTOBER 1966",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
