Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Picture Books 3 Getting Into A Sedan Chair,1950-07-29,1950,L.N. 331,Printed Documents,,Hua Hsia Bookshop,Foreign,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Picture Books Yang Kuei Hsiang,1950-07-29,1950,L.N. 331,Printed Documents,,Education Publishing Society,Foreign,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Picture Books White Haired Woman,1950-07-29,1950,L.N. 331,Printed Documents,,Education Publishing Society,Foreign,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Translations,1950-07-29,1950,L.N. 331,Printed Documents,,World Knowledge Society,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
World Knowledge,1950-07-29,1950,L.N. 331,Printed Documents,,World Knowledge Society,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
World Knowledge,1950-07-29,1950,L.N. 332,Printed Documents,,World Knowledge Publishing Society,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Observation,1950-07-29,1950,L.N. 331,Printed Documents,,Observation Society,Unclear,,,General/Unidentified,Administrative/Unclear Ground,,,No Context.
The Popular Reader,1950-07-29,1950,L.N. 331,Printed Documents,Chia Ching,New Democracy Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Discourse On New Democracy Economics,1950-07-29,1950,L.N. 331,Printed Documents,Yue Li Teng,New Democracy Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Talks On New Politics,1950-07-29,1950,L.N. 331,Printed Documents,Toh Ngai,New Democracy Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Guide To The Study Of Politics,1950-07-29,1950,L.N. 331,Printed Documents,Su Hon,New Democracy Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Modern History Of China (1St Edition),1950-07-29,1950,L.N. 331,Printed Documents,,New Democracy Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
How To Write Documents,1950-07-29,1950,L.N. 331,Printed Documents,Liao Yuen,Nan Fan Book Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Everlasting Friendship,1950-07-29,1950,L.N. 331,Printed Documents,Youth Study Series Committee,,Unclear,,,General/Unidentified,Administrative/Unclear Ground,,,"The Only Signifier That Implies It Have Revolutionary Politics Is That It From The ""Youth Study Series""."
Little Mister,1950-07-29,1950,L.N. 331,Printed Documents,,Little Mister Monthly Society,Unclear,,,General/Unidentified,Administrative/Unclear Ground,,,
New Year's Day,1950-07-29,1950,L.N. 331,Printed Documents,Kam Lo,Kau Sat Publishing Co.,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Picture Books The Happiness Of Resurgence,1950-07-29,1950,L.N. 331,Printed Documents,,Education Publishing Society,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Charhar Education,1950-07-29,1950,L.N. 332,Printed Documents,,Charhar Education Society,Unclear,,,General/Unidentified,Administrative/Unclear Ground,,,
New Times,1951-04-27,1951,L.N. 263,Printed Documents,,Trend,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
New Youths & New China,1951-04-27,1951,L.N. 263,Printed Documents,Li Wen-Chien,Students Literary Society,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
"Beating Up Gongs & Drums, And Sing",1951-04-27,1951,L.N. 263,Printed Documents,,Shanghai Publishing Co.,Foreign,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,Need To Check The Publisher.
Travels In Liberated Area,1951-04-27,1951,L.N. 263,Printed Documents,Chan Hok Chiu,Shanghai Publishing Co.,Foreign,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Novel Monthly,1951-04-27,1951,L.N. 263,Printed Documents,,Novel Monthly Pub. Co.,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,Lack Of Information
Novel,1951-04-27,1951,L.N. 263,Printed Documents,,Novel Magazine,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,Lack Of Information
Charge,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
New Democracy Theory,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Outline Of New Philosophy,1951-04-27,1951,L.N. 263,Printed Documents,Mark B. Mitin,,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Badges,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Great Edison,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Publishing Co.,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,No Proof That Shows Its A Political Literature.
Nine Coats,1951-04-27,1951,L.N. 263,Printed Documents,,Drama Films Daily,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,Lack Of Information
New Emancipation Songs,1951-04-27,1951,L.N. 263,Printed Documents,Tsau Yoh,Democratic Cultural Co.,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
New Art Of Picture Cuttings,1951-04-27,1951,L.N. 263,Printed Documents,Wang Chien,Culture Printing Press,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,Lack Of Information
On Sparks,1951-04-27,1951,L.N. 263,Printed Documents,Ho Chi-Fang,Chun Yi Printing Press,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
On The Seven Oceans,1951-04-27,1951,L.N. 263,Printed Documents,Han Meng,Chiu Shi Press,Unclear,,"[""Chinese""]",General/Unidentified,Administrative/Unclear Ground,,,
Kumudam,1951-04-27,1951,L.N. 263,Printed Documents,,"S.A.P. Annamalai, Devi Press Ltd",Foreign,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
