row,title,author,publisher,year,language,source,file
1,"森林, 我们的母亲! -- 马共中央机关队成员霄鹏同志遗作汇编",,21世纪出版社 Twenty First Century Publication,2026,"[""Chinese""]",placeholder,"covers/2026_森林,_我们的母亲!_--_马共中央机关队成员霄鹏同志遗作汇编_PLACEHOLDER.jpg"
2,国内革命战争时期（五）-- 马共20个月反围剿胜利结束,,21世纪出版社 Twenty First Century Publication,2026,"[""Chinese""]",placeholder,covers/2026_国内革命战争时期（五）--_马共20个月反围剿胜利结束_PLACEHOLDER.jpg
3,抗日战争时期 (三) -- 抗日时期资料续编,,21世纪出版社 Penerbitan Abad Dua Puluh Satu,2026,"[""Chinese""]",placeholder,covers/2026_抗日战争时期_(三)_--_抗日时期资料续编_PLACEHOLDER.jpg
4,勿洞城外月如钩 -- 第十二支队指挥员梁希元同志遗作选编 (续),,21世纪出版社 Penerbitan Abad Dua Puluh Satu,2026,"[""Chinese""]",placeholder,covers/2026_勿洞城外月如钩_--_第十二支队指挥员梁希元同志遗作选编_(续)_PLACEHOLDER.jpg
5,Memoir Shamsiah Fakeh Dari Awas Ke Rejimen Ke-10,,Strategic Information And Research Development Centre (Sird),2026,"[""Malay""]",placeholder,covers/2026_Memoir_Shamsiah_Fakeh_Dari_Awas_Ke_Rejimen_Ke-10_PLACEHOLDER.jpg
6,参军出国边区下山 -- 军事干部宏胜同志回忆录,宏胜（刘志生）,21世纪出版社 Penerbitan Abad Dua Puluh Satu,2026,"[""Chinese""]",placeholder,covers/2026_参军出国边区下山_--_军事干部宏胜同志回忆录_PLACEHOLDER.jpg
7,抗日战争时期 (二) -- 马来亚人民抗日军光荣史,,21世纪出版社 Penerbitan Abad Dua Puluh Satu,2026,"[""Chinese""]",placeholder,covers/2026_抗日战争时期_(二)_--_马来亚人民抗日军光荣史_PLACEHOLDER.jpg
8,Komrad Asi (Rejimen 10) Dalam Denyut Nihilisme Sejarah,Aziz Suriani,Gerakbudaya Enterprise,2026,"[""Malay""]",placeholder,covers/2026_Komrad_Asi_(Rejimen_10)_Dalam_Denyut_Nihilisme_Sejarah_PLACEHOLDER.jpg
9,谁救了手雷女郎？ -- 马来亚紧急状态风云录,"Lei Zi Jian/ Looi Chee Kian, Chen Jian Dan Yang Shan Yong",I-Serdang Media Enterprise,2026,"[""Chinese""]",placeholder,covers/2026_谁救了手雷女郎？_--_马来亚紧急状态风云录_PLACEHOLDER.jpg
10,国内革命战争时期（一） -- 偃旗息鼓埋头苦干,,21世纪出版社 Penerbitan Abad Dua Puluh Satu,2026,"[""Chinese""]",placeholder,covers/2026_国内革命战争时期（一）_--_偃旗息鼓埋头苦干_PLACEHOLDER.jpg
